title,url,time_added,cursor,tags,status
MOCO LOCO | Modern Contemporary Design,http://mocoloco.com/,1427379625,2639938943,template|ui,unread
Creating Passionate Users: Don't make the Demo look Done,http://headrush.typepad.com/creating_passionate_users/2006/12/dont_make_the_d.html,1424546928,2639938946,ux,unread
New York Website Design Company   Mobile App Developers | Lounge Lizard,http://www.loungelizard.com/,1426538287,2639938952,,unread
One Design Company – Chicago Web Design,http://onedesigncompany.com/,1408885257,2639938953,inspiration,unread
"Fuzzco is a creative agency specializing in branding, web design and develo",http://fuzzco.com/,1426538260,2639938957,,unread
http://designingfortheweb.co.uk/,http://designingfortheweb.co.uk/,1471248795,2639938960,teoria|ux,unread
The Inspiration Stream | Veerle's blog 3.0 - Webdesign - XHTML CSS | Graphi,http://veerle.duoh.com/inspiration/,1478075538,2639938961,ifttt|twitter,unread
typography posters,http://www.typographydeconstructed.com/,1430810869,2639938970,,unread
Justin Aguilar - Designer,http://www.justinaguilar.com/,1422973519,2639938975,template,unread
9 Free Display Typefaces for Designers,http://thenextweb.com/dd/2012/01/09/9-awesome-free-display-typefaces-you-can-download-right-now/#gref,1464335598,2639938978,,unread
Future Mechanics Corporate Identity by Roger Oddone | Abduzeedo Design Insp,http://abduzeedo.com/future-mechanics-corporate-identity-roger-oddone,1398732036,2639938979,brand,unread
Teamgeek | Think. Build. Grow.,http://www.teamgeek.co.za/,1426538068,2639938984,,unread
8 New Free Fonts for Your Designs | Freebies,http://webdesignledger.com/freebies/8-new-free-fonts-for-your-designs-2,1363260797,2639938992,fonts,unread
Friday Fresh Free Fonts #170 | Abduzeedo Design Inspiration & Tutorials,http://abduzeedo.com/friday-fresh-free-fonts-170?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+abduzeedo+%28Abduzeedo+Feed%29,1363260800,2639938994,fonts,unread
35  awesome and free @font-face kits | Webdesigner Depot,http://www.webdesignerdepot.com/2012/09/35-awesome-and-free-font-face-kits/,1363260935,2639938996,fonts,unread
Monstrously beautiful font | Webdesigner Depot,http://www.webdesignerdepot.com/2012/10/monstrously-beautiful-font/,1363260939,2639938997,fonts,unread
8 New Free Fonts for your Designs | Freebies,http://webdesignledger.com/freebies/8-new-free-fonts-for-your-designs-3,1363260790,2639939000,fonts,unread
30  Free and Delightful Doodle Fonts | Naldz Graphics,http://naldzgraphics.net/freebies/free-doodle-fonts/,1363260779,2639939002,fonts,unread
The Exploded Alphabet — the Design Office of Matt Stevens - Direction   Des,http://hellomattstevens.com/blog/the-exploded-alphabet,1471084953,2639939005,ifttt|twitter,unread
9 New Free Fonts for your Designs | Freebies,http://webdesignledger.com/freebies/9-new-free-fonts-for-your-designs-2,1363260739,2639939006,fonts,unread
"Friday Fresh Free Fonts - Regencie, Kankin, ... | Abduzeedo Design Inspirat",http://abduzeedo.com/friday-fresh-free-fonts-regencie-kankin?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+abduzeedo+%28Abduzeedo+Feed%29,1363260728,2639939012,fonts,unread
"Friday Fresh Free Fonts - Calmont, Big Mummy, ... | Abduzeedo Design Inspir",http://abduzeedo.com/friday-fresh-free-fonts-calmont-big-mummy?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+abduzeedo+%28Abduzeedo+Feed%29,1363260732,2639939013,,unread
"Download free, high quality design resources from Dribbble - Freebbble",http://freebbble.com/,1426537926,2639939020,,unread
Octave: A free library of UI sounds.,http://raisedbeaches.com/octave/,1530034458,2639939022,ifttt|twitter,unread
Distinctive calligraphic logo design by Sergey Shapiro | Neorelic [The Blog,http://blog.neorelic.com.au/distinctive-calligraphic-logo-design/,1398674252,2639939025,brand,unread
"Responsive web design tool, CMS, and hosting platform | Webflow",https://webflow.com/,1485535827,2639939027,ifttt|twitter,unread
Art of the Menu: Pizzeria Mozza,http://www.underconsideration.com/artofthemenu/archives/mozza.php,1363823529,2639939029,grafica,unread
"10 psychology techniques to drive behaviour | user experience design, ux an",http://www.keepitusable.com/blog/?p=985,1516296811,2639939036,ifttt|twitter,unread
20 Free GUI Templates for 'Flat' Web Design,http://speckyboy.com/2013/04/03/flat-gui-templates/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+speckboy-design-magazine+%28Speckyboy+Design+Magazine%29,1364985068,2639939039,risorse,unread
Stretch Island Fruit CompanyStretch Island Fruit Company,http://lovelypackage.com/stretch-island-fruit-company/,1366116809,2639939044,inspiration,unread
The Rainbow Spreadsheet: A Collaborative Lean UX Research ToolThe Rainbow S,http://www.smashingmagazine.com/2013/04/11/a-collaborative-lean-ux-research-tool/,1365680173,2639939045,teoria,unread
20  wonderful design-heavy websites20  wonderful design-heavy websites,http://www.webdesignerdepot.com/2013/04/20-wonderful-design-heavy-websites/,1366116777,2639939048,inspiration,unread
Ineo Designlab® / Projekter / Højmark Cycles,http://www.ineo.dk/projekter/kunde/hoejmark_cycles,1367587823,2639939051,inspiration,unread
"Come scrivere una graphic novel - o dei disastri che, certe volte, un termi",http://prontoallaresa.blogspot.com/2013/04/come-scrivere-una-graphic-novel-o-dei.html,1366642528,2639939057,teoria,unread
20 Free UI Templates for Sketch.app20 Free UI Templates for Sketch.app,http://feedproxy.google.com/~r/speckboy-design-magazine/~3/6d2PfOs3cn0/,1366715295,2639939058,sketch,unread
Flat design sites that workFlat design sites that work,http://www.webdesignerdepot.com/2013/04/flat-design-sites-that-work/,1366989047,2639939066,risorse,unread
The Flat Design EraThe Flat Design Era,http://webdesignledger.com/tips/the-flat-design-era,1367484753,2639939069,teoria,unread
23 Examples of Flat Web Design23 Examples of Flat Web Design,http://webdesignledger.com/inspiration/23-examples-of-flat-web-design,1367831929,2639939072,inspiration,unread
15  innovative flat design websites15  innovative flat design websites,http://www.webdesignerdepot.com/2013/05/15-innovative-flat-design-websites/,1367833910,2639939074,flat,unread
10 New Free Fonts for Your Designs10 New Free Fonts for Your Designs,http://webdesignledger.com/freebies/10-new-free-fonts-for-your-designs-2,1368000453,2639939078,fonts,unread
"What’s new for designers, May 2013What’s new for designers, May 2013",http://www.webdesignerdepot.com/2013/05/whats-new-for-designers-may-2013/,1368525184,2639939082,risorse,unread
Art of the Menu: Sotto,http://www.underconsideration.com/artofthemenu/archives/sotto.php,1368537352,2639939083,grafica,unread
Flat Design InspirationFlat Design Inspiration,http://webdesignledger.com/inspiration/flat-design-inspiration,1368705339,2639939086,,unread
"What’s new for designers, May 2013 | Webdesigner Depot",http://www.webdesignerdepot.com/2013/05/whats-new-for-designers-may-2013/?ref=facebooksp,1368703588,2639939087,risorse,unread
Do’s and don’ts of typographyDo’s and don’ts of typography,http://www.webdesignerdepot.com/2013/05/dos-and-donts-of-typography/,1369232471,2639939091,teoria,unread
5 Free jQuery Slider Plugins for Responsive Web Designs5 Free jQuery Slider,http://feedproxy.google.com/~r/designinstruct/~3/U84o3it58sU/,1369574187,2639939093,risorse,unread
Principles of Flat DesignPrinciples of Flat Design,http://feedproxy.google.com/~r/designmodo/~3/IZEC5v1vJps/,1369921063,2639939094,teoria,unread
Designer Makes Beautiful Data Charts Of His Diet With Colorful Foods - Desi,http://designtaxi.com/news/358077/Designer-Makes-Beautiful-Data-Charts-Of-His-Diet-With-Colorful-Foods/,1533328929,2639939100,ifttt|twitter,unread
Chromatic typefaces and flat designChromatic typefaces and flat design,http://www.webdesignerdepot.com/2013/06/chromatic-typefaces-and-flat-design/,1370892572,2639939104,inspiration,unread
CSS3 Animation Cheat Sheet - Justin Aguilar,http://www.justinaguilar.com/animations/,1422973535,2639939107,css|risorse,unread
